chr	start	end	gene_name	gene_tss	strand	distance	score	label
chr1	3803570	3805848	LRRC47	3796503	-	8205	-0.0014712651521705	0
chr1	3803570	3805848	SMIM1	3772788	+	31923	0.0256769239939025	0
chr1	4126791	4127291	SMIM1	3772788	+	354255	0.0233837871595364	0
chr1	5304578	5305078	RPL22	6209388	-	894791	0.0267218837670002	0
chr1	8197448	8198244	PARK7	7954291	+	236193	-0.0198771774079988	0
chr1	8858063	8858563	ENO1	8879248	-	20779	-0.107409455981821	1
chr1	8899850	8900350	PARK7	7954291	+	938447	-0.0418823955064419	0
chr1	9145155	9145655	ENO1	8879248	-	266313	-0.0739769868772828	0
chr1	10387486	10388537	DFFA	10472525	-	84545	-0.0157557498848692	0
chr1	11881944	11882444	MAD2L2	11691649	-	200980	0.00758823901432	0
chr1	11882562	11883554	AGTRAP	11736084	+	146974	-0.0358374603924911	0
chr1	11882562	11883554	MAD2L2	11691649	-	201844	-0.0207587249357361	0
chr1	11882562	11883554	TARDBP	11012344	+	870437	-0.0424137203103255	0
chr1	12014145	12015413	MAD2L2	11691649	-	333565	-0.0022533093207312	0
chr1	12014145	12015413	SRM	11060023	-	954745	-0.0215190844518389	0
chr1	17441310	17441810	SDHB	17054169	-	387390	-0.0896782058856451	1
chr1	18534347	18534847	AKR7A2	19312145	-	777549	0.0106042063889238	0
chr1	18534347	18534847	CAPZB	19485538	-	951044	0.0353284868800439	0
chr1	19487638	19488138	MRTO4	19251539	+	236308	-0.0942423727472779	0
chr1	19869923	19870423	CAPZB	19485538	-	384532	-0.035262664025994	0
chr1	20197442	20197942	AKR7A2	19312145	-	885546	-0.0352949029341818	0
chr1	20197442	20197942	MRTO4	19251539	+	946112	-0.0379569280957508	0
chr1	20216567	20217067	HP1BP3	20787322	-	569871	0.0325407672777918	0
chr1	20216567	20217067	MINOS1	19596977	+	619841	-0.0212663238140477	0
chr1	20216567	20217067	MRTO4	19251539	+	965237	-0.0668449756383697	0
chr1	21673110	21673610	CDC42	22052627	+	379266	0.0249761971476645	0
chr1	21791423	21792482	CDC42	22052627	+	260674	0.014635240321704	0
chr1	21963904	21964404	CDC42	22052627	+	88472	0.0054792457032528	0
chr1	21963904	21964404	USP48	21783605	-	180959	-0.0415225906436594	0
chr1	23539621	23540248	GALE	23800803	-	260610	-0.0251388062486068	0
chr1	23539621	23540248	RPL11	23691779	+	151844	0.0420881447260872	0
chr1	23554642	23555320	RPL11	23691779	+	136797	0.0538079824274729	0
chr1	23562302	23562802	RPL11	23691779	+	129226	0.0212473608317498	0
chr1	23716065	23716565	HNRNPR	23344335	-	371951	-0.0879175489311366	0
chr1	23716065	23716565	RPL11	23691779	+	24537	0.0360736017599372	0
chr1	23920093	23921311	ELOA	23743155	+	177337	-0.0178245518651633	0
chr1	23920093	23921311	GALE	23800803	-	120158	-0.0431569394891395	0
chr1	23920093	23921311	HNRNPR	23344335	-	576338	-0.0265888896501907	0
chr1	23920093	23921311	PITHD1	23778405	+	142317	-0.0275220477289405	0
chr1	23920093	23921311	RPL11	23691779	+	228924	0.0214868122723788	0
chr1	23920093	23921311	SRRM1	24631716	+	722400	-0.0327089069413933	0
chr1	24742119	24742619	TMEM50A	25337917	+	595928	-0.0265687340523537	0
chr1	25933351	25933954	ARID1A	26693236	+	762378	0.0225053565920843	0
chr1	25933351	25933954	HMGN2	26472450	+	538758	-0.0300105796000139	0
